date,product_id,brand,model,listed_price,promotional_text,is_deceptive_anchor
2025-03-17,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,222727.96,In Stock,0
2025-03-18,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,222571.34,1 Year Official Warranty,0
2025-03-19,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,222767.84,In Stock,0
2025-03-20,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,224224.49,Free Shipping,0
2025-03-21,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,223801.46,Free Shipping,0
2025-03-22,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,224203.82,1 Year Official Warranty,0
2025-03-23,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,226503.85,1 Year Official Warranty,0
2025-03-24,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,226053.55,In Stock,0
2025-03-25,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,225398.28,Standard Delivery Available,0
2025-03-26,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,225694.0,Free Shipping,0
2025-03-27,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,226514.79,1 Year Official Warranty,0
2025-03-28,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,222319.44,1 Year Official Warranty,0
2025-03-29,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,223683.98,Free Shipping,0
2025-03-30,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,226481.73,In Stock,0
2025-03-31,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,222963.1,Standard Delivery Available,0
2025-04-01,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,225486.62,1 Year Official Warranty,0
2025-04-02,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,224954.64,In Stock,0
2025-04-03,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,223913.59,In Stock,0
2025-04-04,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,225426.27,In Stock,0
2025-04-05,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,222885.23,Free Shipping,0
2025-04-06,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,223638.09,In Stock,0
2025-04-07,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,224831.99,Free Shipping,0
2025-04-08,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,222310.08,Free Shipping,0
2025-04-09,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,223205.31,Standard Delivery Available,0
2025-04-10,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,222285.25,1 Year Official Warranty,0
2025-04-11,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,302110.82,In Stock,0
2025-04-12,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,302110.82,In Stock,0
2025-04-13,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,302110.82,Free Shipping,0
2025-04-14,PROD-APP-IPHON-000,Apple,iPhone 15 Pro Max 256GB,302110.82,1 Year Official Warranty,0
